Code,Libellé
J58.12Z,Édition de répertoires et de fichiers d'adresses
J58.13Z,Édition de journaux
J58.14Z,Édition de revues et périodiques
J58.19Z,Autres activités d'édition
J58.21Z,Édition de jeux électroniques
J58.29A,Édition de logiciels système et de réseau
J58.29B,Édition de logiciels outils de développement et de langages
J58.29C,Édition de logiciels applicatifs
J59.11A,Production de films et de programmes pour la télévision
J59.11B,Production de films institutionnels et publicitaires
J59.11C,Production de films pour le cinéma
J59.12Z,"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
J59.13A,Distribution de films cinématographiques
J59.13B,Édition et distribution vidéo
J59.14Z,Projection de films cinématographiques
J59.20Z,Enregistrement sonore et édition musicale
J60.10Z,Édition et diffusion de programmes radio
J60.20A,Édition de chaînes généralistes
J60.20B,Édition de chaînes thématiques
