Code,Libellé
M69.1 - Activités juridiques,Activités juridiques
M69.2 - Activités comptables,Activités comptables
M70.1 - Activités des sièges sociaux,Activités des sièges sociaux
M70.2 - Conseil de gestion,Conseil de gestion
M71.1 - Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie
M71.2 - Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques
M72.1 - Recherche-développement en sciences physiques et naturelles,Recherche-développement en sciences physiques et naturelles
M72.2 - Recherche-développement en sciences humaines et sociales,Recherche-développement en sciences humaines et sociales
M73.1 - Publicité,Publicité
M73.2 - Études de marché et sondages,Études de marché et sondages
M74.1 - Activités spécialisées de design,Activités spécialisées de design
M74.2 - Activités photographiques,Activités photographiques
M74.3 - Traduction et interprétation,Traduction et interprétation
"M74.9 - Autres activités spécialisées, scientifiques et techniques n.c.a.","Autres activités spécialisées, scientifiques et techniques n.c.a."
M75.0 - Activités vétérinaires,Activités vétérinaires
N77.1 - Location et location-bail de véhicules automobiles,Location et location-bail de véhicules automobiles
N77.2 - Location et location-bail de biens personnels et domestiques,Location et location-bail de biens personnels et domestiques
"N77.3 - Location et location-bail d'autres machines, équipements et biens","Location et location-bail d'autres machines, équipements et biens"
"N77.4 - Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright","Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
N78.1 - Activités des agences de placement de main-d'œuvre,Activités des agences de placement de main-d'œuvre
N78.2 - Activités des agences de travail temporaire,Activités des agences de travail temporaire
N78.3 - Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines
N79.1 - Activités des agences de voyage et voyagistes,Activités des agences de voyage et voyagistes
N79.9 - Autres services de réservation et activités connexes,Autres services de réservation et activités connexes
N80.1 - Activités de sécurité privée,Activités de sécurité privée
N80.2 - Activités liées aux systèmes de sécurité,Activités liées aux systèmes de sécurité
N80.3 - Activités d'enquête,Activités d'enquête
N81.1 - Activités combinées de soutien lié aux bâtiments,Activités combinées de soutien lié aux bâtiments
N81.2 - Activités de nettoyage,Activités de nettoyage
N81.3 - Services d'aménagement paysager,Services d'aménagement paysager
N82.1 - Activités administratives,Activités administratives
